'71549';48.933300;9.500000
'71554';48.916698;9.483330
'71560';49.004700;9.505830
'71563';48.916698;9.316670
'71566';48.916698;9.566670
'71570';48.983299;9.450000
'71573';48.900002;9.466670
'71576';48.933300;9.366670
'71577';49.049999;9.516670
'71579';49.040798;9.444440
'71634';48.900002;9.183330
'71636';48.900002;9.183330
'71638';48.900002;9.183330
'71640';48.900002;9.183330
'71642';48.900002;9.183330
'71665';48.933300;8.966670
'71672';48.933300;9.250000
'71679';48.900002;9.116670
'71686';48.866699;9.283330
'71691';48.933300;9.200000
'71696';48.883301;9.133330
'71701';48.883301;9.066670
'71706';48.900002;9.066670
'71711';48.966702;9.266670
'71717';49.039398;9.315000
'71720';49.026100;9.320830
'71723';49.002499;9.292500
'71726';48.950001;9.250000
'71729';48.933300;9.300000
'71732';48.916698;9.116670
'71735';48.883301;8.966670
'71737';48.950001;9.333330
'71739';48.933300;9.033330
'72070';48.533298;9.050000
'72072';48.533298;9.050000
'72074';48.533298;9.050000
'72076';48.533298;9.050000
'72108';48.466702;8.933330
'72116';48.400002;9.066670
'72119';48.549999;8.966670
'72124';48.549999;9.216670
'72127';48.516701;9.116670
'72131';48.416698;9.033330
'72135';48.616699;9.100000
'72138';48.533298;9.150000
'72141';48.583302;9.183330
'72144';48.450001;9.050000
'72145';48.416698;8.883330
'72147';48.433300;9.066670
'72149';48.483299;8.883330
'72160';48.433300;8.683330
'72172';48.366699;8.650000
'72175';48.349998;8.500000
'72178';48.500000;8.566670
'72181';48.433300;8.816670
'72184';48.483299;8.750000
'72186';48.400002;8.716670
'72189';48.333302;8.666670
'72202';48.549999;8.716670
'72213';48.583302;8.600000
'72218';48.633301;8.750000
'72221';48.533298;8.650000
'72224';48.583302;8.683330
'72226';48.616699;8.516670
'72227';48.566700;8.616670
'72229';48.566700;8.700000
'72250';48.466702;8.416670
'72270';48.500000;8.383330
'72275';48.333302;8.416670
'72280';48.450001;8.500000
'72285';48.516701;8.566670
'72290';48.400002;8.450000
'72291';48.366699;8.483330
'72293';48.433300;8.516670
'72294';48.583302;8.550000
'72296';48.450001;8.550000
'72297';48.583302;8.466670
'72299';48.566700;8.566670
'72336';48.283298;8.850000
'72348';48.283298;8.716670
'72351';48.283298;8.816670
'72355';48.216702;8.750000
'72356';48.233299;8.750000
'72358';48.233299;8.766670
'72359';48.233299;8.800000
'72361';48.200001;8.833330
'72362';48.133301;8.866670
'72364';48.150002;8.866670
'72365';48.200001;8.800000
'72367';48.183300;8.766670
'72369';48.216702;8.716670
'72379';48.349998;8.983330
'72393';48.283298;9.116670
'72401';48.366699;8.800000
'72406';48.316700;8.916670
'72411';48.400002;8.966670
'72414';48.383301;8.883330
'72415';48.333302;8.883330
'72417';48.333302;9.050000
'72419';48.233299;9.183330
'72458';48.216702;9.016670
'72459';48.216702;9.016670
'72461';48.216702;9.016670
'72469';48.183300;8.966670
'72474';48.183300;9.116670
'72475';48.233299;9.100000
'72477';48.099998;9.000000
'72479';48.166698;9.100000
'72488';48.083302;9.216670
'72501';48.250000;9.216670
'72505';48.033298;9.250000
'72510';48.116699;9.083330
'72511';48.116699;9.266670
'72513';48.216702;9.233330
'72514';48.066700;9.183330
'72516';48.066700;9.283330
'72517';48.066700;9.266670
'72519';48.183300;9.216670
'72525';48.416698;9.500000
'72531';48.333302;9.300000
'72532';48.400002;9.400000
'72534';48.266701;9.483330
'72535';48.450001;9.666670
'72537';48.383301;9.566670
'72539';48.283298;9.366670
'72555';48.533298;9.266670
'72574';48.500000;9.400000
'72581';48.533298;9.350000
'72582';48.524700;9.462320
'72584';48.516701;9.400000
'72585';48.560902;9.268680
'72587';48.496201;9.514820
'72589';48.516102;9.624870
'72622';48.633301;9.350000
'72631';48.633301;9.266670
'72636';48.599998;9.366670
'72639';48.549999;9.366670
'72644';48.650002;9.366670
'72649';48.650002;9.283330
'72654';48.599998;9.233330
'72655';48.583302;9.266670
'72657';48.583302;9.216670
'72658';48.566700;9.266670
'72660';48.566700;9.400000
'72661';48.566700;9.300000
